model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-base,131,decoder_prefill,5,decoder.layers.5.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,130;129,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,132,decoder_prefill,5,decoder.layers.5.encoder_attn.out_proj,linear,,B*T_dec,512,512,131,decoder.layers.5.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,133,decoder_prefill,5,decoder.layers.5.fc1,linear,,B*T_dec,2048,512,132,decoder.layers.5.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,134,decoder_prefill,5,decoder.layers.5.fc2,linear,,B*T_dec,512,2048,133,decoder.layers.5.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,135,decoder_prefill,output,proj_out,linear,,B*T_dec,51865,512,134,proj_out.weight/tied decoder embed_tokens,"[51865,512]",config+architecture,
models--Systran--faster-whisper-base,136,decoder_decode_step,0,decoder.layers.0.self_attn.q_proj,linear,,B,512,512,,decoder.layers.0.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,137,decoder_decode_step,0,decoder.layers.0.self_attn.k_proj,linear,,B,512,512,,decoder.layers.0.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,138,decoder_decode_step,0,decoder.layers.0.self_attn.v_proj,linear,,B,512,512,,decoder.layers.0.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,139,decoder_decode_step,0,decoder.layers.0.self_attn.qk,batched_matmul,B*heads,1,KV_dec,64,136;137,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-base,140,decoder_decode_step,0,decoder.layers.0.self_attn.pv,batched_matmul,B*heads,1,64,KV_dec,139;138,,,config+architecture,
models--Systran--faster-whisper-base,141,decoder_decode_step,0,decoder.layers.0.self_attn.out_proj,linear,,B,512,512,140,decoder.layers.0.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,142,decoder_decode_step,0,decoder.layers.0.encoder_attn.q_proj,linear,,B,512,512,141,decoder.layers.0.encoder_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,143,decoder_decode_step,0,decoder.layers.0.encoder_attn.qk,batched_matmul,B*heads,1,T_enc,64,142,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-base,144,decoder_decode_step,0,decoder.layers.0.encoder_attn.pv,batched_matmul,B*heads,1,64,T_enc,143,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-base,145,decoder_decode_step,0,decoder.layers.0.encoder_attn.out_proj,linear,,B,512,512,144,decoder.layers.0.encoder_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,146,decoder_decode_step,0,decoder.layers.0.fc1,linear,,B,2048,512,145,decoder.layers.0.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,147,decoder_decode_step,0,decoder.layers.0.fc2,linear,,B,512,2048,146,decoder.layers.0.fc2.weight,"[512,2048]",config+architecture,
